name,website,emails,price,zip_code,city,rating,address,review_count,dogs_allowed,phone,categories,good_for_kids
Scarlet Fox,https://scarletfoxsf.com,"hello@scarletfoxsf.com [INFERRED], support@scarletfoxsf.com [INFERRED], reservations@scarletfoxsf.com [INFERRED], info@scarletfoxsf.com [INFERRED], contact@scarletfoxsf.com [INFERRED]",$$,94117,San Francisco,5.0,"1690 Hayes St, San Francisco, CA 94117",21,Unknown,+14152340015,Wine Bars,Unknown
The Sage & Drifter,,,$$,94122,San Francisco,4.8,"1368 Irving St, San Francisco, CA 94122",61,Unknown,+14155929488,Cocktail Bars,Unknown
Out The Road,https://outtheroadsf.com,"reservations@outtheroadsf.com [INFERRED], hello@outtheroadsf.com [INFERRED], support@outtheroadsf.com [INFERRED], contact@outtheroadsf.com [INFERRED], info@outtheroadsf.com [INFERRED]",$$,94134,San Francisco,4.8,"2636 San Bruno Ave, San Francisco, CA 94134",32,Unknown,+14157665687,"Sports Bars, Cocktail Bars, Sandwiches",Unknown
Paris 75,http://lppsf.com,paris75@lppsf.com,$$,94133,San Francisco,4.7,"515 Broadway, San Francisco, CA 94133",80,Unknown,+14159363266,"Lounges, Tapas/Small Plates, Wine Bars",Unknown
Wine Down SF,https://www.winedownsf.com,"hello@winedownsf.com [INFERRED], contact@winedownsf.com [INFERRED], reservations@winedownsf.com [INFERRED], info@winedownsf.com [INFERRED], support@winedownsf.com [INFERRED]",$$,94107,San Francisco,4.7,"685 Folsom St, San Francisco, CA 94107",193,Unknown,+14158297005,"Wine Bars, Beer Bar, Venues & Event Spaces",Unknown
Petit Lil’s,http://lilliecoits.com,hello@lilliecoits.com,$$,94133,San Francisco,4.7,"1707 Powell St, San Francisco, CA 94133",27,Unknown,,Cocktail Bars,Unknown
El Chato,https://www.elchatosf.com,info@elchatosf.com,$$,94110,San Francisco,4.7,"2301 Bryant St, San Francisco, CA 94110",35,Unknown,,Wine Bars,Unknown
Key Klub,https://www.keyklubsf.com,keyklubsf@gmail.com,$$,94108,San Francisco,4.6,"850 Bush St, San Francisco, CA 94108",94,Unknown,+14154949425,Wine Bars,Unknown
El Lopo,http://elloposf.com,info@elloposf.com,$$$,94109,San Francisco,4.6,"1327 Polk St, San Francisco, CA 94109",152,Unknown,+14152373072,"Spanish, Tapas Bars, Wine Bars",Unknown
Destapas,http://destapas.com,info@destapas.com,$$$,94110,San Francisco,4.5,"2708 24th St, San Francisco, CA 94110",197,Unknown,+14158297045,"Spanish, Tapas Bars, Wine Bars",Unknown
Standard Deviant Brewing,http://www.standarddeviantbrewing.com,info@standarddeviantbrewing.com,$,94103,San Francisco,4.5,"280 14th St, San Francisco, CA 94103",215,Unknown,+14155902550,Breweries,Unknown
Pacific Cocktail Haven,http://www.pacificcocktailsf.com,"info@pacificcocktailsf.com, events@konastreetmarket.com",$$,94108,San Francisco,4.5,"550 Sutter St, San Francisco, CA 94108",695,Unknown,,Cocktail Bars,Unknown
Third Rail,http://thirdrailbarsf.com/,info@thirdrailbarsf.com,$$,94107,San Francisco,4.5,"628 20th St, San Francisco, CA 94107",247,Unknown,+14152527966,Cocktail Bars,Unknown
Woods Lowside,https://www.woodsbeer.com/lowside,info@woodsbeer.com,$$,94117,San Francisco,4.5,"530 Haight St, San Francisco, CA 94117",66,Unknown,+14155485734,"Wine Bars, Wineries, Breweries",Unknown
The Sea Star,https://www.theseastarsf.com,"support@theseastarsf.com [INFERRED], hello@theseastarsf.com [INFERRED], info@theseastarsf.com [INFERRED], contact@theseastarsf.com [INFERRED], reservations@theseastarsf.com [INFERRED]",$,94107,San Francisco,4.5,"2289 3rd St, San Francisco, CA 94107",117,Unknown,+14155525330,"Dive Bars, Cocktail Bars",Unknown
Nick & Nora,http://nickandnora.bar,"hello@nickandnora.bar [INFERRED], support@nickandnora.bar [INFERRED], contact@nickandnora.bar [INFERRED], info@nickandnora.bar [INFERRED], reservations@nickandnora.bar [INFERRED]",$$,94014,Daly City,4.5,"6282 Mission St, Daly City, CA 94014",82,Unknown,+14153494451,"Cocktail Bars, Lounges, Cabaret",Unknown
Persona,https://www.persona-sf.com,"info@persona-sf.com [INFERRED], support@persona-sf.com [INFERRED], hello@persona-sf.com [INFERRED], reservations@persona-sf.com [INFERRED], contact@persona-sf.com [INFERRED]",$$,94102,San Francisco,4.5,"685 Sutter St, San Francisco, CA 94102",237,Unknown,+14154004598,"Cocktail Bars, Venues & Event Spaces, Lounges",Unknown
The Holbrook House,https://holbrookhousesf.com,info@holbrookhousesf.com,$$$,94104,San Francisco,4.5,"1 Sansome St, San Francisco, CA 94104",186,Unknown,+14155156444,"Cocktail Bars, Breakfast & Brunch, American",Unknown
Wildseed,https://www.wildseedsf.com/location/wildseed/,"info@wildseedsf.com, paloalto@wildseedsf.com, info@wildseedsf.com.",$$,94123,San Francisco,4.5,"2000 Union St, San Francisco, CA 94123",1648,Unknown,+14158727350,"Vegan, Cocktail Bars",Unknown
Harlan Records,http://www.harlanrecords.com,info@harlanrecords.com,$$,94108,San Francisco,4.4,"18 Harlan Pl, San Francisco, CA 94108",90,Unknown,+14154004083,Cocktail Bars,Unknown
Arcana,http://www.arcanasf.com,"curate@arcanasf.com, entertainment@arcanasf.com, reservations@arcanasf.com, guestsreservations@arcanasf.com, workshop@arcanasf.com, exhibitionscurate@arcanasf.com, info@arcanasf.com, naz@arcanasf.com",$$,94110,San Francisco,4.4,"2512 Mission St, San Francisco, CA 94110",222,Unknown,+14157953842,"Nurseries & Gardening, Wine Bars, Music Venues",Unknown
Fermentation Lab,http://www.fermlabsf.com,"fermlabsf@gmail.com, info@fermlabsf.com",$$,94115,San Francisco,4.4,"1700A Post St, San Francisco, CA 94115",172,Unknown,+14157570667,"Cocktail Bars, Seafood, Asian Fusion",Unknown
Birba,http://www.birbawine.com,birbaevents@gmail.com,$$,94102,San Francisco,4.4,"458 Grove St, San Francisco, CA 94102",210,Unknown,+14155497612,"Wine Bars, New American",Unknown
The Butterfly Lounge,http://www.thehotelmajestic.com,"events@thehotelmajestic.com., info@thehotelmajestic.com",$$,94109,San Francisco,4.4,"1500 Sutter St, San Francisco, CA 94109",76,Unknown,+14154411100,"Cocktail Bars, Lounges",Unknown
Tipsea,http://www.tipseabar.com,"info@tipseabar.com [INFERRED], reservations@tipseabar.com [INFERRED], hello@tipseabar.com [INFERRED], support@tipseabar.com [INFERRED], contact@tipseabar.com [INFERRED]",$$,94704,Berkeley,4.4,"2327 Shattuck Ave, Berkeley, CA 94704",131,Unknown,,"Cocktail Bars, New American",Unknown
Black Hammer Brewing Company,https://blackhammerbrewing.com,"hello@blackhammerbrewing.com [INFERRED], info@blackhammerbrewing.com [INFERRED], reservations@blackhammerbrewing.com [INFERRED], support@blackhammerbrewing.com [INFERRED], contact@blackhammerbrewing.com [INFERRED]",$$,94107,San Francisco,4.4,"544 Bryant St, San Francisco, CA 94107",424,Unknown,+16282422027,"Breweries, Beer Gardens",Unknown
